"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Abstract","Author Keywords","Publication Stage"
"Yang Z.; Yan Z.; Diao W.; Zhang Q.; Kang Y.; Li J.; Li X.; Sun X.","Yang, Zhujun (57252814800); Yan, Zhiyuan (57202787748); Diao, Wenhui (56816620400); Zhang, Qiang (57463075400); Kang, Yuzhuo (57361932700); Li, Junxi (57324004700); Li, Xinming (57221872527); Sun, Xian (34875643000)","57252814800; 57202787748; 56816620400; 57463075400; 57361932700; 57324004700; 57221872527; 34875643000","Label Propagation and Contrastive Regularization for Semisupervised Semantic Segmentation of Remote Sensing Images","2023","10.1109/TGRS.2023.3277203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161266177&doi=10.1109%2fTGRS.2023.3277203&partnerID=40&md5=ecf257247dc553d8ffcef4ea1fdd6a7c","Remarkable progress based on deep neural networks has been achieved in the semantic segmentation of remote sensing images (RSIs). However, pixel-level labeling is expensive for RSIs. Semisupervised semantic segmentation becomes an alternative approach to reduce the cost of annotation, and it is crucial to utilize efficiently a large number of unlabeled data. Nevertheless, inevitably, there is an unbalanced class distribution between labeled and unlabeled data in a remote sensing scene. Existing semisupervised methods train unlabeled images in isolation from labeled images and only learn reliable pixel pseudo-labels, leading to underutilization of unlabeled images. This article proposes a novel semisupervised semantic segmentation approach based on label propagation and contrastive regularization for RSIs. Specifically, the unlabeled images are augmented by randomly copy-pasting the class regions from labeled images. A prototype feature constraint module is used to enforce the constraint on the pixel features of unlabeled images relying on the prototype features from labeled images, achieving feature alignment on the entire dataset. Furthermore, we present the region contrastive learning (RCL) module that guides the model to learn feature consistency under different perturbations and compact feature representations over class regions on unlabeled images. Extensive experimental results on multiple remote sensing datasets demonstrate that our proposed approach achieves superior performance compared with state-of-the-art semisupervised semantic segmentation methods.  © 1980-2012 IEEE.","Contrastive regularization; label propagation; remote sensing images (RSIs); semantic segmentation; semisupervised learning (SSL)","Final"
"Wang J.; Ding C.H.Q.; Chen S.; He C.; Luo B.","Wang, Jiaxin (57219782521); Ding, Chris H. Q. (7202622028); Chen, Sibao (9734673000); He, Chenggang (57219776672); Luo, Bin (57203411639)","57219782521; 7202622028; 9734673000; 57219776672; 57203411639","Semi-supervised remote sensing image semantic segmentation via consistency regularization and average update of pseudo-label","2020","10.3390/rs12213603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095409394&doi=10.3390%2frs12213603&partnerID=40&md5=cf3a392cae00b78fba5c9ab1011d3b1c","Image segmentation has made great progress in recent years, but the annotation required for image segmentation is usually expensive, especially for remote sensing images. To solve this problem, we explore semi-supervised learning methods and appropriately utilize a large amount of unlabeled data to improve the performance of remote sensing image segmentation. This paper proposes a method for remote sensing image segmentation based on semi-supervised learning. We first design a Consistency Regularization (CR) training method for semi-supervised training, then employ the new learned model for Average Update of Pseudo-label (AUP), and finally combine pseudo labels and strong labels to train semantic segmentation network. We demonstrate the effectiveness of the proposed method on three remote sensing datasets, achieving better performance without more labeled data. Extensive experiments show that our semi-supervised method can learn the latent information from the unlabeled data to improve the segmentation performance. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Consistency training; Pseudo label; Remote sensing image segmentation; Semi-supervised learning","Final"
"Scherer S.; Brehm S.; Lienhart R.","Scherer, Sebastian (57218713282); Brehm, Stephan (57194721743); Lienhart, Rainer (7004444515)","57218713282; 57194721743; 7004444515","Consistency Regularization for Unsupervised Domain Adaptation in Semantic Segmentation","2022","10.1007/978-3-031-06427-2_42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130941756&doi=10.1007%2f978-3-031-06427-2_42&partnerID=40&md5=789d245d179e4f5a2582728cf0bf20ba","Unsupervised domain adaptation is a promising technique for computer vision tasks, especially when annotating large amounts of data is very costly and time-consuming, as in semantic segmentation. Here it is attractive to train neural networks on simulated data and fit them to real data on which the models are to be used. In this paper, we propose a consistency regularization method for domain adaptation in semantic segmentation that combines pseudo-labels and strong perturbations. We analyse the impact of two simple perturbations, dropout and image mixing, and show how they contribute enormously to the final performance. Experiments and ablation studies demonstrate that our simple approach achieves strong results on relevant synthetic-to-real domain adaptation benchmarks. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Domain adaptation; Semantic segmentation; Semi-supervised learning; Synthetic data; Unsupervised learning","Final"
"Yin J.; Yan S.; Chen T.; Chen Y.; Yao Y.","Yin, Jianjian (57960359000); Yan, Shuai (57219092953); Chen, Tao (57221072167); Chen, Yi (8630639600); Yao, Yazhou (57072144300)","57960359000; 57219092953; 57221072167; 8630639600; 57072144300","Class Probability Space Regularization for semi-supervised semantic segmentation","2024","10.1016/j.cviu.2024.104146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203835331&doi=10.1016%2fj.cviu.2024.104146&partnerID=40&md5=0b67008c01b0ab8335a2ffeff987c421","Semantic segmentation achieves fine-grained scene parsing in any scenario, making it one of the key research directions to facilitate the development of human visual attention mechanisms. Recent advancements in semi-supervised semantic segmentation have attracted considerable attention due to their potential in leveraging unlabeled data. However, existing methods only focus on exploring the knowledge of unlabeled pixels with high certainty prediction. Their insufficient mining of low certainty regions of unlabeled data results in a significant loss of supervisory information. Therefore, this paper proposes the Class Probability Space Regularization (CPSR) approach to further exploit the potential of each unlabeled pixel. Specifically, we first design a class knowledge reshaping module to regularize the probability space of low certainty pixels, thereby transforming them into high certainty ones for supervised training. Furthermore, we propose a tail probability suppression module to suppress the probabilities of tailed classes, which facilitates the network to learn more discriminative information from the class probability space. Extensive experiments conducted on the PASCAL VOC2012 and Cityscapes datasets prove that our method achieves state-of-the-art performance without introducing much computational overhead. Code is available at https://github.com/MKSAQW/CPSR. © 2024 Elsevier Inc.","Class knowledge reshaping; Class probability space regularization; Human visual attention mechanisms; Semi-supervised semantic segmentation; Tail probability suppression","Final"
"Wang J.; He J.; Liu Y.; Chen C.; Zhang M.; Tan H.","Wang, Jingyi (58920050900); He, Jingyang (59322971600); Liu, Yu (57203675793); Chen, Chen (55858302300); Zhang, Maojun (16033521000); Tan, Hanlin (56727161800)","58920050900; 59322971600; 57203675793; 55858302300; 16033521000; 56727161800","Multi-Scale Classification and Contrastive Regularization: Weakly Supervised Large-Scale 3D Point Cloud Semantic Segmentation","2024","10.3390/rs16173319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203634510&doi=10.3390%2frs16173319&partnerID=40&md5=b5ab95a90b5428883932883b02d7fe39","With the proliferation of large-scale 3D point cloud datasets, the high cost of per-point annotation has spurred the development of weakly supervised semantic segmentation methods. Current popular research mainly focuses on single-scale classification, which fails to address the significant feature scale differences between background and objects in large scenes. Therefore, we propose MCCR (Multi-scale Classification and Contrastive Regularization), an end-to-end semantic segmentation framework for large-scale 3D scenes under weak supervision. MCCR first aggregates features and applies random downsampling to the input data. Then, it captures the local features of a random point based on multi-layer features and the input coordinates. These features are then fed into the network to obtain the initial and final prediction results, and MCCR iteratively trains the model using strategies such as contrastive learning. Notably, MCCR combines multi-scale classification with contrastive regularization to fully exploit multi-scale features and weakly labeled information. We investigate both point-level and local contrastive regularization to leverage point cloud augmentor and local semantic information and introduce a Decoupling Layer to guide the loss optimization in different spaces. Results on three popular large-scale datasets, S3DIS, SemanticKITTI and SensatUrban, demonstrate that our model achieves state-of-the-art (SOTA) performance on large-scale outdoor datasets with only 0.1% labeled points for supervision, while maintaining strong performance on indoor datasets. © 2024 by the authors.","large-scale point clouds; semantic segmentation; weak supervision","Final"
"Li M.; Xie Y.; Shen Y.; Ke B.; Qiao R.; Ren B.; Lin S.; Ma L.","Li, Mengtian (59447381900); Xie, Yuan (55710277800); Shen, Yunhang (56431616600); Ke, Bo (57962164300); Qiao, Ruizhi (57210584624); Ren, Bo (57217481712); Lin, Shaohui (57191847788); Ma, Lizhuang (8930473900)","59447381900; 55710277800; 56431616600; 57962164300; 57210584624; 57217481712; 57191847788; 8930473900","HybridCR: Weakly-Supervised 3D Point Cloud Semantic Segmentation via Hybrid Contrastive Regularization","2022","10.1109/CVPR52688.2022.01451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137703525&doi=10.1109%2fCVPR52688.2022.01451&partnerID=40&md5=2f45d40484b37390355155efeea7ad2f","To address the huge labeling cost in large-scale point cloud semantic segmentation, we propose a novel hybrid contrastive regularization (HybridCR) framework in weakly-supervised setting, which obtains competitive performance compared to its fully-supervised counterpart. Specifically, HybridCR is the first framework to leverage both point consistency and employ contrastive regularization with pseudo labeling in an end-to-end manner. Fundamentally, HybridCR explicitly and effectively considers the semantic similarity between local neighboring points and global characteristics of 3D classes. We further design a dynamic point cloud augmentor to generate diversity and robust sample views, whose transformation parameter is jointly optimized with model training. Through extensive experiments, HybridCR achieves significant performance improvement against the SOTA methods on both indoor and outdoor datasets, e.g., S3DIS, ScanNet-V2, Semantic3D, and SemanticKITTI. © 2022 IEEE.","Computer vision for social good; grouping and shape analysis; Segmentation; Self-& semi-& meta- Transfer/low-shot/long-tail learning","Final"
"Ye P.; Li B.; Chen T.; Fan J.; Mei Z.; Lin C.; Zuo C.; Chi Q.; Ouyang W.","Ye, Peng (58866118000); Li, Baopu (15843770500); Chen, Tao (57192810199); Fan, Jiayuan (56428257800); Mei, Zhen (57849328100); Lin, Chen (57208439048); Zuo, Chongyan (57222808365); Chi, Qinghua (55324006600); Ouyang, Wanli (27068028000)","58866118000; 15843770500; 57192810199; 56428257800; 57849328100; 57208439048; 57222808365; 55324006600; 27068028000","Efficient Joint-Dimensional Search with Solution Space Regularization for Real-Time Semantic Segmentation","2022","10.1007/s11263-022-01663-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136995086&doi=10.1007%2fs11263-022-01663-z&partnerID=40&md5=ab72fca34195aeb1093b404f9e8fe157","Semantic segmentation is a popular research topic in computer vision, and many efforts have been made on it with impressive results. In this paper, we intend to search an optimal network structure that can run in real-time for this problem. Towards this goal, we jointly search the depth, channel, dilation rate and feature spatial resolution, which results in a search space consisting of about 2.78 × 10 324 possible choices. To handle such a large search space, we leverage differential architecture search methods. However, the architecture parameters searched using existing differential methods need to be discretized, which causes the discretization gap between the architecture parameters found by the differential methods and their discretized version as the final solution for the architecture search. Hence, we relieve the problem of discretization gap from the innovative perspective of solution space regularization. Specifically, a novel Solution Space Regularization (SSR) loss is first proposed to effectively encourage the supernet to converge to its discrete one. Then, a new Hierarchical and Progressive Solution Space Shrinking method is presented to further achieve high efficiency of searching. In addition, we theoretically show that the optimization of SSR loss is equivalent to the L-norm regularization, which accounts for the improved search-evaluation gap. Comprehensive experiments show that the proposed search scheme can efficiently find an optimal network structure that yields an extremely fast speed (175 FPS) of segmentation with a small model size (1 M) while maintaining comparable accuracy. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Joint-Dimensional Search; Real-Time Segmentation; Solution Space Regularization","Final"
"Xiao Z.; Zong J.; Lan H.; Wei X.; Tang X.","Xiao, Zhenjiu (57674161400); Zong, Jiaxu (57674424000); Lan, Hai (59051605500); Wei, Xian (56304291000); Tang, Xiaoliang (56327158000)","57674161400; 57674424000; 59051605500; 56304291000; 56327158000","Image semantic segmentation based on manifold regularization constraint; [流形正则化约束的图像语义分割]","2022","10.11834/jig.200527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129717656&doi=10.11834%2fjig.200527&partnerID=40&md5=ab75d80c32de6a3d26ea5751b6a843c7","Objective: Image semantic segmentation is one of the essential issues in computer vision and image processing. It aims to divide pixels in the image into different categories semantically, and to foresee pixel-level predictions. It has been widely used in various fields, such as scene information understanding, automatic driving and medical assisting diagnosis. Competitive performance has still suffered from challenges such as low contrast, uneven luminance and complicated scenarios currently. The performance of semantic segmentation algorithms have mainly constrained by the spatial context information. Current methods based on deep learning algorithms for image semantic segmentation has focused on harnessing the context information between pixels. For instance, the attention mechanism builds an element-wise weight matrix to capture the similarity between pixels which can be used as coefficient to summate the input. Meanwhile, probabilistic graphical models have been utilized in the spatial context as prior to enhance the classification confidence. However, these methodologies require massive computational resource (e.g. GPU memory). A contextual information capturing method is demonstrated based on manifold regularization. By assuming the data in the input image and the segmentation prediction share the same locally geometric structure in the low-dimensional manifold, this research illustrated possibility to harness the relevancy among pixels in more efficient way. As a result, the novel algorithm based on manifold regularization is issued to exploit the spatial context relation from a geometric perspective, which can be embedded into the deep learning framework to improve the performance with no increasing on both parameter amount and reasoning time. Method: The contextual information analysis in the image can be effectively captured by manifold regularization. The DeepLab-v3 architecture is extracted the image features, which uses the residual network(ResNet) as the backbone network. The last two down-sampling layers of the model are pruned, and dilated convolution is employed in the subsequent convolutional layer to control the resolution of the features. For the methodology of regular segmentation, the cross-entropy of single pixel between prediction and ground truth is only involved in the cost function and sum up in total loss without any context information simply. A detailed manifold regularization penalty designation is integrated to single pixel information and the neighborhood context information. This geometric intuition for the initial image data has the same locally geometric shape with those in the segmented result. It indicates that the correspondences between clusters of data points in the input image and output result data points. For instance, when the distance of two input data points in the manifold sub-space is close, the corresponding segmentation result data points are close, and vice versa. Furthermore, the image into sub-image patches to capture the relationship between to customize the constraints between pixels. The hierarchical manifold regularization constraints are achieved via sub-image patch divides into different sizes. When the patch size is minimized, the constraint is between pixels substantially and the approach acts like other pixel-wise context aware algorithms such as fully connected conditional random field (CRF) model. On the contrary, the maximum patch size which equals to the input image size makes the approach become semi-supervised learning algorithm based on interconnected samples. The analyzed model gets improved on segmentation accuracy and achieves state-of-the-art performance. This model is based on two public datasets, Cityscapes and PASCAL VOC 2012 (pattern analysis, statistical modeling and computational learning visual object classes 2012). The performance is measured via mean intersection-over-union (mIoU) averaged across all the classes. The open source toolbox Pytorch is used to build the model. The stochastic gradient descent (SGD) method is adopted as the optimization. In addition, data augmentation is conducted by means of random cropping and inversion in accordance with probability levels. The operating system of the experimental platform is Centos7, with a GPU of model NVIDIA RTX 2080Ti and a CPU of Intel(R) Core(TM) i7-6850. Result: The tests are conducted with the effect of manifold regularization. The algorithm achieves a good accuracy of the segmentation model without increasing computational complexity in the process of model implementation. On the benchmark, the ResNet50 backbone model improves the performance by 0.8% with manifold regularization adopted on the PASCAL VOC 2012 dataset, while the ResNet101 backbone models bring 2.1% mIoU gain. These results demonstrated that the manifold regularization get qualified performance with larger network model, and the analyszed results on the Cityscapes dataset also prove this inference, the ResNet50 model increases by 0.3% while the ResNet101 model increases by 0.5%. With the comparison of other context aggregation methods, we achieve mIoU of 78.0% on the Cityscapes dataset and 69.5% on the PASCAL VOC 2012 dataset. Furthermore, visualization of the segmentation results is implemented. The generated segmentation results are more accurate at the edges and have less error rate based on the algorithm with manifold regularization constraints. Conclusion: This demonstration illustrates a novel algorithm for the context information image semantic segmentation via the manifold regularization constraints, which can be melted into the deep learning network model to improve the segmentation performance without changing the network structure. The results verify that the illustrated algorithm has good generalization capability in semantic segmentation. © 2022, Editorial Office of Journal of Image and Graphics. All right reserved.","Capture of contextual information; Deep learning; Manifold regularization; Residual network(ResNet); Semantic segmentation","Final"
"Fu D.; Nelson B.J.","Fu, Deqing (58317720600); Nelson, Bradley J. (57211353582)","58317720600; 57211353582","Topological Regularization for Dense Prediction","2022","10.1109/ICMLA55696.2022.00014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152214949&doi=10.1109%2fICMLA55696.2022.00014&partnerID=40&md5=f0e22a1fd04574f71cde14f726d18568","Dense prediction tasks such as depth perception and semantic segmentation are important applications in computer vision that have a concrete topological description in terms of partitioning an image into connected components or estimating a function with a small number of local extrema corresponding to objects in the image. We develop a form of topological regularization based on persistent homology that can be used in dense prediction tasks with these topological descriptions. Experimental results show that the output topology can also appear in the internal activations of trained neural networks which allows for a novel use of topological regularization to the internal states of neural networks during training, reducing the computational cost of the regularization. We demonstrate that this topological regularization of internal activations leads to improved convergence and test benchmarks on several problems and architectures.  © 2022 IEEE.","Computational topology; Monocular depth estimation; Persistent homology; Semantic segmentation; Topological data analysis","Final"
"Barbato F.; Toldo M.; Michieli U.; Zanuttigh P.","Barbato, Francesco (57223755205); Toldo, Marco (57219630564); Michieli, Umberto (57205564138); Zanuttigh, Pietro (6503908255)","57223755205; 57219630564; 57205564138; 6503908255","Latent space regularization for unsupervised domain adaptation in semantic segmentation","2021","10.1109/CVPRW53098.2021.00318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113498521&doi=10.1109%2fCVPRW53098.2021.00318&partnerID=40&md5=c8e2126e71cf5ae958ed69ce028c471b","Deep convolutional neural networks for semantic segmentation achieve outstanding accuracy, however they also have a couple of major drawbacks: first, they do not generalize well to distributions slightly different from the one of the training data; second, they require a huge amount of labeled data for their optimization. In this paper, we introduce feature-level space-shaping regularization strategies to reduce the domain discrepancy in semantic segmentation. In particular, for this purpose we jointly enforce a clustering objective, a perpendicularity constraint and a norm alignment goal on the feature vectors corresponding to source and target samples. Additionally, we propose a novel measure able to capture the relative efficacy of an adaptation strategy compared to supervised training. We verify the effectiveness of such methods in the autonomous driving setting achieving state-of-the-art results in multiple synthetic-to-real road scenes benchmarks. © 2021 IEEE.","","Final"
"Xu Y.; Ghamisi P.","Xu, Yonghao (57199421344); Ghamisi, Pedram (53663404300)","57199421344; 53663404300","Consistency-Regularized Region-Growing Network for Semantic Segmentation of Urban Scenes with Point-Level Annotations","2022","10.1109/TIP.2022.3189825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135596412&doi=10.1109%2fTIP.2022.3189825&partnerID=40&md5=ad2fc1fa2bb33350da7361bb0e1e6a2a","Deep learning algorithms have obtained great success in semantic segmentation of very high-resolution (VHR) remote sensing images. Nevertheless, training these models generally requires a large amount of accurate pixel-wise annotations, which is very laborious and time-consuming to collect. To reduce the annotation burden, this paper proposes a consistency-regularized region-growing network (CRGNet) to achieve semantic segmentation of VHR remote sensing images with point-level annotations. The key idea of CRGNet is to iteratively select unlabeled pixels with high confidence to expand the annotated area from the original sparse points. However, since there may exist some errors and noises in the expanded annotations, directly learning from them may mislead the training of the network. To this end, we further propose the consistency regularization strategy, where a base classifier and an expanded classifier are employed. Specifically, the base classifier is supervised by the original sparse annotations, while the expanded classifier aims to learn from the expanded annotations generated by the base classifier with the region-growing mechanism. The consistency regularization is thereby achieved by minimizing the discrepancy between the predictions from both the base and the expanded classifiers. We find such a simple regularization strategy is yet very useful to control the quality of the region-growing mechanism. Extensive experiments on two benchmark datasets demonstrate that the proposed CRGNet significantly outperforms the existing state-of-the-art methods. Codes and pre-trained models are available online (https://github.com/YonghaoXu/CRGNet).  © 1992-2012 IEEE.","convolutional neural network (CNN); remote sensing; Semantic segmentation; sparse annotation; very high-resolution (VHR) images; weakly supervised learning","Final"
"Deng Z.; Tang X.; Zhang Z.; Xie J.; Zhang W.","Deng, Zhanhao (58934330300); Tang, Xu (58928116000); Zhang, Zejun (56020887700); Xie, Jianxiao (57200181174); Zhang, Weichuan (52464730200)","58934330300; 58928116000; 56020887700; 57200181174; 52464730200","Class-Aware Feature Regularization for Semantic Segmentation","2023","10.1145/3633637.3633694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187555135&doi=10.1145%2f3633637.3633694&partnerID=40&md5=5e7225b016942072a965e021f69d1527","In this paper, to address the problem of intra-class consistency and inter-class variation in the deep convolutional neural network (CNN) based methods for semantic segmentation of images, we propose a class-aware feature regularization strategy to revise the features extracted by a deep convolutional neural network, without any change of the original network structure. A pixel-context similarity term is proposed to measure the consistency between feature vectors of pixels and class centers, which guarantees the intra-class consistency of pixels in the interior of an object and is supervised by a One-Hot label to preserve the inter-class variation of different objects. Based on the similarity term, we design a lightweight and efficient plug-in loss term to ensure that the features yielded by a deep CNN possess the quality of intra-class consistency and inter-class variation. As our ideal can be fulfilled effectively by the proposed plug-in loss term, we can simply incorporate it into a CNN-based segmentation model without changing the model structure. The effectiveness of the proposed strategy is proved by incorporating the loss term into some state-of-the-art segmentation models on Cityscapes and ADE20K datasets. © 2023 ACM.","class-aware regularization; inter-class variation; intra-class consistency; semantic segmentation","Final"
"Veksler O.","Veksler, Olga (6602934119)","6602934119","Regularized Loss for Weakly Supervised Single Class Semantic Segmentation","2020","10.1007/978-3-030-58526-6_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093072071&doi=10.1007%2f978-3-030-58526-6_21&partnerID=40&md5=39b868b8e8df5b6e4b09d6638bc7ad9b","Fully supervised semantic segmentation is highly successful, but obtaining dense ground truth is expensive. Thus there is an increasing interest in weakly supervised approaches. We propose a new weakly supervised method for training CNNs to segment an object of a single class of interest. Instead of ground truth, we guide training with a regularized loss function. Regularized loss models prior knowledge about the likely object shape properties and thus guides segmentation towards the more plausible shapes. Training CNNs with regularized loss is difficult. We develop an annealing strategy that is crucial for successful training. The advantage of our method is simplicity: we use standard CNN architectures and intuitive and computationally efficient loss function. Furthermore, we apply the same loss function for any task/dataset, without any tailoring. We first evaluate our approach for salient object segmentation and co-segmentation. These tasks naturally involve one object class of interest. In some cases, our results are only a few points of standard performance measure behind those obtained training the same CNN with full supervision, and state-of-the art results in weakly supervised setting. Then we adapt our approach to weakly supervised multi-class semantic segmentation and obtain state-of-the-art results. © 2020, Springer Nature Switzerland AG.","","Final"
"Lu Y.; Zhang Y.; Cui Z.; Long W.; Chen Z.","Lu, Yujie (59373539900); Zhang, Yongjun (55739754700); Cui, Zhongwei (56102364800); Long, Wei (57216312487); Chen, Ziyang (58997839300)","59373539900; 55739754700; 56102364800; 57216312487; 58997839300","Multi-Dimensional Manifolds Consistency Regularization for semi-supervised remote sensing semantic segmentation","2024","10.1016/j.knosys.2024.112032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195177598&doi=10.1016%2fj.knosys.2024.112032&partnerID=40&md5=70bced01f5c73d402b393ac880f76837","Semi-supervised semantic segmentation in remote sensing is critical for urban planning, environmental monitoring and disaster response. The high cost and time required for high-quality data annotation limits its wider application. Traditional semi-supervised deep learning methods, which operate in a single dimension, limit model robustness and generalization. Our study addresses this issue by proposing an effective semi-supervised learning method. This method improves model robustness and generalization in remote sensing semantic segmentation. We introduce the Multi-Dimensional Manifolds Consistency Regularization (MDMCR) approach. It applies multi-dimensional perturbations to input images and features, expanding the sample library and improving learning efficiency. Our method has been rigorously tested on various datasets. With only 1/8 of the data labeled, it achieved mean Intersection over Union (mIoU) scores of 74.48% on ISPRS Vaihingen and 78.80% on Potsdam. With only 5% labeled data, it reached 49.93% mIoU on DeepGlobe Roads and 57.90% on Massachusetts Roads. These results show the superiority of our method over existing techniques. © 2024","Consistency regularization; Manifold hypothesis; Multi-dimensional manifolds; Semi-supervised remote sensing semantic segmentation","Final"
"Huang Y.; Kang D.; Chen L.; Zhe X.; Jia W.; Bao L.; He X.","Huang, Ye (57208822807); Kang, Di (57202841234); Chen, Liang (57059516200); Zhe, Xuefei (57193646927); Jia, Wenjing (7202412193); Bao, Linchao (55613500900); He, Xiangjian (7404409118)","57208822807; 57202841234; 57059516200; 57193646927; 7202412193; 55613500900; 7404409118","CAR: Class-Aware Regularizations for Semantic Segmentation","2022","10.1007/978-3-031-19815-1_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142692842&doi=10.1007%2f978-3-031-19815-1_30&partnerID=40&md5=af29d5452884ae21f2651b9b79798620","Recent segmentation methods, such as OCR and CPNet, utilizing “class level” information in addition to pixel features, have achieved notable success for boosting the accuracy of existing network modules. However, the extracted class-level information was simply concatenated to pixel features, without explicitly being exploited for better pixel representation learning. Moreover, these approaches learn soft class centers based on coarse mask prediction, which is prone to error accumulation. In this paper, aiming to use class level information more effectively, we propose a universal Class-Aware Regularization (CAR) approach to optimize the intra-class variance and inter-class distance during feature learning, motivated by the fact that humans can recognize an object by itself no matter which other objects it appears with. Three novel loss functions are proposed. The first loss function encourages more compact class representations within each class, the second directly maximizes the distance between different class centers, and the third further pushes the distance between inter-class centers and pixels. Furthermore, the class center in our approach is directly generated from ground truth instead of from the error-prone coarse prediction. Our method can be easily applied to most existing segmentation models during training, including OCR and CPNet, and can largely improve their accuracy at no additional inference overhead. Extensive experiments and ablation studies conducted on multiple benchmark datasets demonstrate that the proposed CAR can boost the accuracy of all baseline models by up to 2.23% mIOU with superior generalization ability. The complete code is available at https://github.com/edwardyehuang/CAR. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Class-aware regularizations; Semantic segmentation","Final"
"Wang Z.; Geng Y.; Jia L.; Qin Y.; Chai Y.; Tong L.; Liu K.","Wang, Zhipeng (56472477200); Geng, Yixuan (57218161203); Jia, Limin (7201396387); Qin, Yong (7403100638); Chai, Yuanyuan (24921220400); Tong, Lei (55413536300); Liu, Keyan (57486393000)","56472477200; 57218161203; 7201396387; 7403100638; 24921220400; 55413536300; 57486393000","Self-Attentive Local Aggregation Learning With Prototype Guided Regularization for Point Cloud Semantic Segmentation of High-Speed Railways","2023","10.1109/TITS.2023.3281352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161473348&doi=10.1109%2fTITS.2023.3281352&partnerID=40&md5=fc0088b4dad6f8ab51ae7d5595507cb8","Point cloud semantic segmentation for railway infrastructures is an essential step towards establishing railway digital twins. Deep learning-based methods have shown great potential in this field compared to traditional methods that rely on hand-crafted features. However, deep learning-based methods for railway point clouds still face typical challenges that need to be addressed. In this regard, we propose a novel learning framework named SALAProNet, which consists of a set of effective and concise modular solutions. The first challenge addressed is the massive data scale of railway point clouds, which makes it difficult to directly process large-scale point clouds due to memory limitations. To solve this problem, we adapt efficient random sampling in the network and propose the Self-Attentive Aggregation (SAA) module based on an attention mechanism to greatly expand the receptive field, which covers the unsampled points and successfully retains information in a high-dimensional feature space. The second challenge is fine-grained segmentation, where we propose the Local Geometry Embedding (LGE) module to embed local geometry. With the help of context information provided by SAA, the network can perform fine-grained segmentation for railway infrastructures. The third challenge is the insufficient generalization ability of the network, where we propose a Prototype Guided Regularization (PGR) method to guide the network to segment the point cloud among railways with different construction standards. This method enhances the network's interpretability and improves its generalization ability. We have validated our proposed framework through experiments on different datasets, and it outperforms state-of-the-art approaches.  © 2000-2011 IEEE.","Attention mechanism; digital twin; high-speed railway; infrastructure; point cloud semantic segmentation; prototype guided regularization","Final"
"Guan D.; Huang J.; Xiao A.; Lu S.","Guan, Dayan (57202644096); Huang, Jiaxing (57219508311); Xiao, Aoran (57219688834); Lu, Shijian (8439329200)","57202644096; 57219508311; 57219688834; 8439329200","Unbiased Subclass Regularization for Semi-Supervised Semantic Segmentation","2022","10.1109/CVPR52688.2022.00973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138634592&doi=10.1109%2fCVPR52688.2022.00973&partnerID=40&md5=591d10996091ee6d7862f0f83ee7c5e6","Semi-supervised semantic segmentation learns from small amounts of labelled images and large amounts of unlabelled images, which has witnessed impressive progress with the recent advance of deep neural networks. However, it often suffers from severe class-bias problem while exploring the unlabelled images, largely due to the clear pixel-wise class imbalance in the labelled images. This paper presents an unbiased subclass regularization network (USRN) that alleviates the class imbalance issue by learning class-unbiased segmentation from balanced subclass distributions. We build the balanced subclass distributions by clustering pixels of each original class into multiple subclasses of similar sizes, which provide class-balanced pseudo supervision to regularize the class-biased segmentation. In addition, we design an entropy-based gate mechanism to coordinate learning between the original classes and the clustered subclasses which facilitates subclass regularization effectively by suppressing unconfident subclass predictions. Extensive experiments over multiple public benchmarks show that USRN achieves superior performance as compared with the state-of-the-art. © 2022 IEEE.","grouping and shape analysis; Self- & semi- & meta- Segmentation","Final"
