"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Yang Z.-X.; You Z.-H.; Chen S.-B.; Tang J.; Luo B.","Yang, Zi-Xiong (58571587400); You, Zhi-Hui (57804166100); Chen, Si-Bao (9734673000); Tang, Jin (24286986300); Luo, Bin (57203411639)","58571587400; 57804166100; 9734673000; 24286986300; 57203411639","Semisupervised Edge-Aware Road Extraction via Cross Teaching between CNN and Transformer","2023","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","16","","","8353","8362","9","5","10.1109/JSTARS.2023.3310612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170558408&doi=10.1109%2fJSTARS.2023.3310612&partnerID=40&md5=4c1c9a8c6770f4a5119212758f1200de","Semisupervised semantic segmentation of remote sensing images has been proven to be an effective approach to reduce manual annotation costs and leverage available unlabeled data to improve segmentation performance. However, some existing methods that focus on self-training and consistent regularization fail to consider large-scale characteristics of remote sensing images and the importance of incorporating road edge information. In this article, we propose a novel semisupervised edge-aware network (SSEANet) for remote sensing image semantic segmentation by jointly training convolutional neural network and transformer. SSEANet focuses on the consistency loss of multiscale features and uses an attention mechanism to fuse road edge information. Extensive experiments on DeepGlobe, Massachusetts, and AerialKITTI-Bavaria datasets show that the proposed method outperforms state-of-the-art, demonstrating its effectiveness. © 2008-2012 IEEE.","Cross teaching (CT); edge-aware; road extraction; semisupervised learning; transformer","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85170558408"
"Li B.; Sun K.; Lang Y.; Guan L.; Lu F.; Zhu Y.","Li, Benliang (56129844300); Sun, Keyang (57225952075); Lang, Yao (57750918100); Guan, Lan (57215054765); Lu, Fei (58587543400); Zhu, Yi (58440060200)","56129844300; 57225952075; 57750918100; 57215054765; 58587543400; 58440060200","Application of CSGE-PSPnet Remote Sensing Image Semantic Segmentation Technology in Transmission and Transformation Engineering Design","2022","Proceedings - 2022 Asian Conference on Frontiers of Power and Energy, ACFPE 2022","","","","85","89","4","0","10.1109/ACFPE56003.2022.9952233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143796067&doi=10.1109%2fACFPE56003.2022.9952233&partnerID=40&md5=968a2f17bf930da6d061c12cb8a789f2","With the breakthrough development of remote sensing technology and deep learning, remote sensing technology also has a broad application prospect in the field of transmission and transformation engineering design. Semantic segmentation, as a key link in remote sensing image processing, is the basis for improving the intelligence of transmission and substation engineering, for siting, construction, maintenance, and monitoring of transmission and substation engineering by accurately identifying important facilities, sensitive locations and environmental changes. Therefore, this paper proposes a remote sensing image semantic segmentation model(CSGE-PSPnet), which is based on PSPNet(Pyramid Scene Parsing Network) and SGE(Spatial Group-Wise Enhance Attention). CSGE-PSPnet could enhance local significance features while extracting global features, realizes the refined extraction of key information, and designs CSGE Block(Spatial-Channel Group-Wise Enhance Attention) to extract channel and spatial local information at the same time to enhance local significance features. Multi-level features are fused through dense connection structures to retain feature information of small-scale targets. Subsequently, the deep global features are mined by PSPNet on the feature map after fusion, and the contextual information of different regions is fused to obtain the segmentation results. In addition, one auxiliary loss layer and one major loss layer further improve the model's generalization ability. The experimental results show that CSGE-PSPnet is superior to other methods and can accurately identify small targets, and CSGE Block significantly enhances the feature representation.  © 2022 IEEE.","mix domain attention; power transmission and transformation engineering; PSPNet; semantic segmentation of remote sensing images; site selection","Conference paper","Final","","Scopus","2-s2.0-85143796067"
"Kannadaguli P.","Kannadaguli, Prashanth (56656540700)","56656540700","YOLO v4 Based Human Detection System Using Aerial Thermal Imaging for UAV Based Surveillance Applications","2020","2020 International Conference on Decision Aid Sciences and Application, DASA 2020","","","9317198","1213","1219","6","34","10.1109/DASA51403.2020.9317198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100549065&doi=10.1109%2fDASA51403.2020.9317198&partnerID=40&md5=157773091b6ac0e839ac4b8d871b2d9d","This work is related to building a Human Detection system based on You Only Look Once (YOLO) v4. It is one of the most recent Deep Learning approaches primitively built using single shot detection proposal. Unlike the double stage region-based object detection schemes this technique do not follow semantic segmentation, it does not undergo loss of the object information such as disappearance of the gradients and it does not require pre-defined anchors. This technique comprises strong feature extractors and reinforce multi scale object detection and it is very quick in the multi-threaded GPU environments. Since our fundamental research is concentrated on object classification related to Unmanned Aerial Vehicle (UAV) applications, as a first step we choose to detect the humans from thermal dataset. Therefore, we used thermal images and videos possessed from thermal cameras of UAV 1m to 50m above ground level as our dataset in building the model and testing. The YOLO v4 uses ground truth bounding boxes to extract the features like Weighted Residual Connections (WRC), Cross Stage Partial Connections (CSP), Cross mini Batch Normalization (CmBN), Self-Adversarial Training (SAT), Mish Activation (MA), Mosaic Data Augmentation (MDA) and Drop Block Regularization (DBR). Finally, the performance analysis of these model in terms of mean Average Precision (mAP) indicates that the modelling using YOLO v4 performs in a promising way and it can be used in automatic human detection systems. © 2020 IEEE.","Deep Learning; Object Detection; Smart City; Surveillance; Thermal Imaging; UAV; YOLO v4","Conference paper","Final","","Scopus","2-s2.0-85100549065"
"","","","21st International Conference on Image Analysis and Processing, ICIAP 2022","2022","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13232 LNCS","","","","","2040","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130960916&partnerID=40&md5=dd1d0cdc6839a35ffe0f7e5c3c6b4fdd","The proceedings contain 168 papers. The special focus in this conference is on Image Analysis and Processing. The topics include: Leveraging Road Area Semantic Segmentation with Auxiliary Steering Task; Pulmonary-Restricted COVID-19 Informative Visual Screening Using Chest X-ray Images from Portable Devices; unsupervised Multi-camera Domain Adaptation for Object Detection in Cultural Sites; automatic Classification of Fresco Fragments: A Machine and Deep Learning Study; The AIRES-CH Project: Artificial Intelligence for Digital REStoration of Cultural Heritages Using Nuclear Imaging and Multidimensional Adversarial Neural Networks; Grad 2 VAE: An Explainable Variational Autoencoder Model Based on Online Attentions Preserving Curvatures of Representations; pruning in the Face of Adversaries; Towards Latent Space Optimization of GANs Using Meta-Learning; DMSANet: Dual Multi Scale Attention Network; enhanced Data-Recalibration: Utilizing Validation Data to Mitigate Instance-Dependent Noise in Classification; a Comparison of Deep Learning Methods for Inebriation Recognition in Humans; contrastive Supervised Distillation for Continual Representation Learning; multiple Input Branches Shift Graph Convolutional Network with DropEdge for Skeleton-Based Action Recognition; Robust Object Detection with Multi-input Multi-output Faster R-CNN; don’t Wait Until the Accident Happens: Few-Shot Classification Framework for Car Accident Inspection in a Real World; CVGAN: Image Generation with Capsule Vector-VAE; Avalanche RL: A Continual Reinforcement Learning Library; towards an Efficient Facial Image Compression with Neural Networks; consistency Regularization for Unsupervised Domain Adaptation in Semantic Segmentation; medicinal Boxes Recognition on a Deep Transfer Learning Augmented Reality Mobile Application; towards Efficient and Data Agnostic Image Classification Training Pipeline for Embedded Systems; an Intelligent Scanning Vehicle for Waste Collection Monitoring; avoiding Shortcuts in Unpaired Image-to-Image Translation.","","Conference review","Final","","Scopus","2-s2.0-85130960916"
"Chen Y.; He G.; Yin R.; Zheng K.; Wang G.","Chen, Yanlin (57984018900); He, Guojin (14028364400); Yin, Ranyu (57203751769); Zheng, Kaiyuan (57983778200); Wang, Guizhou (36519783300)","57984018900; 14028364400; 57203751769; 57983778200; 36519783300","Comparative Study of Marine Ranching Recognition in Multi-Temporal High-Resolution Remote Sensing Images Based on DeepLab-v3+ and U-Net","2022","Remote Sensing","14","22","5654","","","","15","10.3390/rs14225654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142689637&doi=10.3390%2frs14225654&partnerID=40&md5=e4dac3773f3cd232cb8b7fb92e1688f3","The recognition and monitoring of marine ranching help to determine the type, spatial distribution and dynamic change of marine life, as well as promote the rational utilization of marine resources and marine ecological environment protection, which has important research significance and application value. In the study of marine ranching recognition based on high-resolution remote sensing images, the convolutional neural network (CNN)-based deep learning method, which can adapt to different water environments, can be used to identify multi-scale targets and restore the boundaries of extraction results with high accuracy. However, research based on deep learning still has problems such as rarely considering the feature complexity of marine ranching and inadequate discussion of model generalization for multi-temporal images. In this paper, we construct a multi-temporal dataset that describes multiple features of marine ranching to explore the recognition and generalization ability of the semantic segmentation models DeepLab-v3+ and U-Net (used in large-area marine ranching) based on GF-1 remote sensing images with a 2 m spatial resolution. Through experiments, we find that the F-score of the U-Net extraction results from multi-temporal test images is basically stable at more than 90%, while the F-score of DeepLab-v3+ fluctuates around 80%. The results show that, compared with DeepLab-v3+, U-Net has a stronger recognition and generalization ability for marine ranching. U-Net can identify floating raft aquaculture areas at different growing stages and distinguish between cage aquaculture areas with different colors but similar morphological characteristics. © 2022 by the authors.","deep learning; DeepLab-v3+; marine ranching; multi-temporal high-resolution remote sensing images; semantic segmentation; U-Net","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142689637"
"Wang Z.; Guo J.; Huang W.; Zhang S.","Wang, Zhen (57226052226); Guo, Jianxin (57196261924); Huang, Wenzhun (55570643700); Zhang, Shanwen (55713521800)","57226052226; 57196261924; 55570643700; 55713521800","Side-Scan Sonar Image Segmentation Based on Multi-Channel Fusion Convolution Neural Networks","2022","IEEE Sensors Journal","22","6","","5911","5928","17","29","10.1109/JSEN.2022.3149841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124737080&doi=10.1109%2fJSEN.2022.3149841&partnerID=40&md5=5bc00e557ce13ee64e3aba97a2ce589d","Side-scan sonar is an important application in the field of ocean exploration. Accurate segmentation of target regions in side-scan sonar images is a challenging issue due to the low-resolution and strong noise interference. To accurately and faster segment the different categories target in sonar image, a novel convolutional neural networks (CNNs) model is proposed in this study. Firstly, the deep separable residual module is used for target regions multi-scale feature extraction and suppression noise feature information interference, and the multi-channel feature fusion method is used to enhance feature information transfer of convolution layers. Secondly, the adaptive supervised function is used for pixel-wise classification of different categories targets. Finally, to improve model generalization ability and robustness, the adaptive transfer learning method is introduced in the model training process. We have performed extensive experiments on side-scan sonar image with different targets and scales. The experimental results show that the detection accuracy of the proposed method reaches 95.73%, which is outperforms other state-of-the-art methods on the side-scan sonar image segmentation tasks. Moreover, the method has fewer computational parameters, facilitating future deployment it to underwater mobile detection devices.  © 2001-2012 IEEE.","adaptive supervised function; adaptive transfer learning; convolution neural network; multi-channel feature fusion; Sonar image segmentation","Article","Final","","Scopus","2-s2.0-85124737080"
"Li Q.; Zorzi S.; Shi Y.; Fraundorfer F.; Zhu X.X.","Li, Qingyu (57208661005); Zorzi, Stefano (57214136113); Shi, Yilei (55495784300); Fraundorfer, Friedrich (8977349800); Zhu, Xiao Xiang (55696622200)","57208661005; 57214136113; 55495784300; 8977349800; 55696622200","RegGAN: An End-to-End Network for Building Footprint Generation with Boundary Regularization","2022","Remote Sensing","14","8","1835","","","","12","10.3390/rs14081835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128864677&doi=10.3390%2frs14081835&partnerID=40&md5=f45c09e07a84e47879c94d458f593cb7","Accurate and reliable building footprint maps are of great interest in many applications, e.g., urban monitoring, 3D building modeling, and geographical database updating. When compared to traditional methods, the deep-learning-based semantic segmentation networks have largely boosted the performance of building footprint generation. However, they still are not capable of delineating structured building footprints. Most existing studies dealing with this issue are based on two steps, which regularize building boundaries after the semantic segmentation networks are implemented, making the whole pipeline inefficient. To address this, we propose an end-to-end network for the building footprint generation with boundary regularization, which is termed RegGAN. Our method is based on a generative adversarial network (GAN). Specifically, a multiscale discriminator is proposed to distinguish the input between false and true, and a generator is utilized to learn from the discriminator’s response to generate more realistic building footprints. We propose to incorporate regularized loss in the objective function of RegGAN, in order to further enhance sharp building boundaries. The proposed method is evaluated on two datasets with varying spatial resolutions: the INRIA dataset (30 cm/pixel) and the ISPRS dataset (5 cm/pixel). Experimental results show that RegGAN is able to well preserve regular shapes and sharp building boundaries, which outperforms other competitors. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","building footprint; generative adversarial network; regularization; semantic segmentation","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85128864677"
"","","","24th International Conference on Medical Image Computing and Computer Assisted Intervention, MICCAI 2021","2021","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12906 LNCS","","","","","5669","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116414926&partnerID=40&md5=24c8314016f0c64bead46cfc2160b79f","The proceedings contain 531 papers. The special focus in this conference is on Medical Image Computing and Computer Assisted Intervention. The topics include: TransBTS: Multimodal Brain Tumor Segmentation Using Transformer; automatic Polyp Segmentation via Multi-scale Subtraction Network; patch-Free 3D Medical Image Segmentation Driven by Super-Resolution Technique and Self-Supervised Guidance; progressively Normalized Self-Attention Network for Video Polyp Segmentation; SGNet: Structure-Aware Graph-Based Network for Airway Semantic Segmentation; NucMM Dataset: 3D Neuronal Nuclei Instance Segmentation at Sub-Cubic Millimeter Scale; AxonEM Dataset: 3D Axon Instance Segmentation of Brain Cortical Regions; improved Brain Lesion Segmentation with Anatomical Priors from Healthy Subjects; carveMix: A Simple Data Augmentation Method for Brain Lesion Segmentation; TransFuse: Fusing Transformers and CNNs for Medical Image Segmentation; boundary-Aware Transformers for Skin Lesion Segmentation; A Topological-Attention ConvLSTM Network and Its Application to EM Images; BiX-NAS: Searching Efficient Bi-directional Architecture for Medical Image Segmentation; multi-task, Multi-domain Deep Segmentation with Shared Representations and Contrastive Regularization for Sparse Pediatric Datasets; TEDS-Net: Enforcing Diffeomorphisms in Spatial Transformers to Guarantee Topology Preservation in Segmentations; learning Consistency- and Discrepancy-Context for 2D Organ Segmentation; partially-Supervised Learning for Vessel Segmentation in Ocular Images; unsupervised Network Learning for Cell Segmentation; MT-UDA: Towards Unsupervised Cross-modality Medical Image Segmentation with Limited Source Labels; context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation; Pancreas CT Segmentation by Predictive Phenotyping; interactive Segmentation via Deep Learning and B-Spline Explicit Active Surfaces; multi-compound Transformer for Accurate Biomedical Image Segmentation; kCBAC-Net: Deeply Supervised Complete Bipartite Networks with Asymmetric Convolutions for Medical Image Segmentation; Refined Local-imbalance-based Weight for Airway Segmentation in CT.","","Conference review","Final","","Scopus","2-s2.0-85116414926"
"Zhang Y.; Gu P.; Zhang Y.; Wang C.; Chen D.Z.","Zhang, Yizhe (55760519200); Gu, Pengfei (57219052995); Zhang, Yejia (57462160900); Wang, Chaoli (57203797020); Chen, Danny Z. (7405453271)","55760519200; 57219052995; 57462160900; 57203797020; 7405453271","GrNT: Gate-Regularized Network Training for Improving Multi-Scale Fusion in Medical Image Segmentation","2023","Proceedings - International Symposium on Biomedical Imaging","2023-April","","","","","","2","10.1109/ISBI53787.2023.10230431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172151003&doi=10.1109%2fISBI53787.2023.10230431&partnerID=40&md5=ce7a031ab3baeeea2b39370165402fdb","Multi-scale fusion is a key for semantic segmentation of medical images. Recent deep learning methods added network complexity to achieve better multi-scale fusion results. However, given the already very expressive architectures (e.g., U-Net), an interesting question is whether additional complexity is necessary for achieving more robust multi-scale fusion performance. In this paper, we proposed a new method for improving the multi-scale fusion performance of a medical image segmentation model. We create a set of binary gates at fusing locations that allow us to control forward and backward flows in training. A gate on-off schedule is imposed so that high-scale (level) features could drive the generation of segmentation, while low-scale features serve as complimentary for reconstructing shape details. Our method is effective, easy to implement, and occurs no extra cost when deploying the trained model. Experiments show that our gate-regularized network training (GrNT) improves widely adopted models (e.g., U-Net, Attention U-Net, and DenseVoxNet) on three segmentation datasets (2017 ISIC Skin Lesion segmentation (2D), MM-WHS CT (3D), and 2016 HVSMR (3D)). © 2023 IEEE.","","Conference paper","Final","","Scopus","2-s2.0-85172151003"
"","","","9th International Conference on Image and Graphics, ICIG 2017","2017","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10667 LNCS","","","","","1955","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041815466&partnerID=40&md5=692a1507e6e926e556ff1d0ff7523e13","The proceedings contain 172 papers. The special focus in this conference is on Image and Graphics. The topics include: New tikhonov regularization for blind image restoration; real-time multi-camera video stitching based on improved optimal stitch line and multi-resolution fusion; image quality assessment of enriched tonal levels images; a variational model to extract texture from noisy image data with local variance constraints; Joint visualization of UKF tractography data; semantic segmentation based automatic two-tone portrait synthesis; Parameters sharing multi-items non-parametric factor microfacet model for isotropic and anisotropic BRDFs; SRG and RMSE-based automated segmentation for volume data; shape recovery of endoscopic videos by shape from shading using mesh regularization; RGB-D saliency detection with multi-feature-fused optimization; lazy recoloring; Similar trademark image retrieval integrating LBP and convolutional neural network; adaptive learning compressive tracking based on Kalman filter; Online high-accurate calibration of RGB+3D-LiDAR for autonomous driving; run-based connected components labeling using double-row scan; a 3D tube-object centerline extraction algorithm based on steady fluid dynamics; Moving objects detection in video sequences captured by a PTZ camera; Fast grid-based fluid dynamics simulation with conservation of momentum and kinetic energy on GPU; adaptive density optimization of lattice structures sustaining the external multi-load; hyperspectral image classification based on deep forest and spectral-spatial cooperative feature; research on color image segmentation; hyperspectral image classification using multi vote strategy on convolutional neural network and sparse representation joint feature; efficient deep belief network based hyperspectral image classification; classification of hyperspectral imagery based on dictionary learning and extended multi-attribute profiles; sparse acquisition integral imaging system.","","Conference review","Final","","Scopus","2-s2.0-85041815466"
"Zhang S.; Wang Z.; Wang Z.","Zhang, Shanwen (55713521800); Wang, Zhen (55719695100); Wang, Zuliang (57193567874)","55713521800; 55719695100; 57193567874","Method for image segmentation of cucumber disease leaves based on multi-scale fusion convolutional neural networks; [多尺度融合卷积神经网络的黄瓜病害叶片图像分割方法]","2020","Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","36","16","","149","157","8","20","10.11975/j.issn.1002-6819.2020.16.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093862515&doi=10.11975%2fj.issn.1002-6819.2020.16.019&partnerID=40&md5=06b599f52d65ec96339aed7d21532f90","Cucumber disease leaf image segmentation is an important step in disease detection and disease type recognition. To overcome the shortcomings of the classical disease leaf segmentation methods, image semantic segmentation algorithm based on the Fully Convolution Networks (FCNs) had been widely used in the automatic segmentation of disease leaf images in the complex background. FCNs replaced the last three fully-connected layers with three convolutional layers so that the input image with any size could be accepted. FCNs classified images at the pixel level, resolving the problem of semantic segmentation at the semantic level. FCNs utilized the de-convolutional layer to upsample the feature map of the last convolutional layer and restored it to the same size of the input image so that each pixel could be generated. At the same time, the spatial information of the original input image was retained. Then, the pixel-by-pixel classification was carried out on the above feature maps. The disadvantages of FCNs were that 1) the segmented images by FCNs were still not precise enough. Although the result of 8 times sampling was much better than 32 times sampling, the result of upsampling was still blurred and smooth, and was insensitive to the details of the image; 2) Classification of each pixel did not fully consider the relationship between the pixels. The spatial regularization steps used in the usual segmentation methods based on pixel classification were neglected and lack of spatial consistency. Aiming at the low recognition accuracy problem of the traditional disease leaf image segmentation methods, the Multi-Scale Fusion Convolutional Neural Networks (MSF-CNNS) were proposed for cucumber disease leaf image segmentation. MSF-CNNs consisted of Encoder Networks (ENs) and Decoder Networks (DNs). ENs were composed of a multi-scale Convolutional Neural Networks to extract multi-scale information of images of disease leaves. DNs were a nine-point bilinear interpolation algorithm to restore the size and resolution of the input image. In the process of the model training, a transfer learning method with the gradual adjustment was used to accelerate the training speed and segmentation accuracy of the network model. The architecture of MSF-CNNs is similar to U-Net and SegNet, mainly including encoder networks and decoder networks. However, to extract the multi-scale information of the input image, a multilevel parallel structure was introduced into the encoding network, while a multi-scale connection was introduced into the decoding network. In the specific coding network, the multi-column parallel CNNs could be used to extract the multi-scale features of the image of crop disease leaves. In the decoding network, the size and resolution of the image were restored by introducing the nine-point bisector linear interpolation algorithm as the deconvolution interpolation method. In the structure of the overall network model, skip join was used to pass the characteristic information extracted from different convolutional layers, and batch normalization operation was introduced to alleviate the gradient dispersion phenomenon of the model. Segmentation experiments were carried out on the image database of cucumber disease leaves under the complex background and compared with the existing deep learning models, such as FCNs, SegNet, U-Net, and DenseNet. The results on the cucumber disease leaf image dataset validated that the proposed method met the needs of the cucumber disease leaf image segmentation in the complex environment, with pixel-classification accuracy of 92.38%, the average accuracy of 93.12%, mean intersection over the union of 91.36 and frequency weighted intersection over the union of 89.76%. Compared with FCNs, SegNet, U-NET, and DenseNet, the average accuracy of the proposed method is improved by 13.00%, 10.74%, 10.40%, 10.08%, and 6.40%, respectively. After using the progressive learning training method, the training time was reduced by 0.9 h. The results showed that the proposed method was effective for the image segmentation of the cucumber disease leaves in a complex environment, and could provide technical support for further research on cucumber disease detection and identification. © 2020, Editorial Department of the Transactions of the Chinese Society of Agricultural Engineering. All right reserved.","Convolutional neural networks; Disease; Image segmentation; Multi-scale fusion CNNs; Transfer learning; Vegetable","Article","Final","","Scopus","2-s2.0-85093862515"
"","","","9th International Conference on Scale Space and Variational Methods in Computer Vision, SSVM 2023","2023","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14009 LNCS","","","","","756","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161109423&partnerID=40&md5=0819246117a12533c04ab19a13f836f9","The proceedings contain 57 papers. The special focus in this conference is on Scale Space and Variational Methods in Computer Vision. The topics include: EmNeF: Neural Fields for Embedded Variational Problems in Imaging; genHarris-ResNet: A Rotation Invariant Neural Network Based on Elementary Symmetric Polynomials; compressive Learning of Deep Regularization for Denoising; graph Laplacian and Neural Networks for Inverse Problems in Imaging: GraphLaNet; learning Posterior Distributions in Underdetermined Inverse Problems; proximal Residual Flows for Bayesian Inverse Problems; a Model is Worth Tens of Thousands of Examples; resolution-Invariant Image Classification Based on Fourier Neural Operators; graph Laplacian for Semi-supervised Learning; efficient Neural Generation of 4K Masks for Homogeneous Diffusion Inpainting; a Geometrically Aware Auto-Encoder for Multi-texture Synthesis; Fast Marching Energy CNN; deep Accurate Solver for the Geodesic Problem; deep Image Prior Regularized by Coupled Total Variation for Image Colorization; hybrid Training of Denoising Networks to Improve the Texture Acutance of Digital Cameras; latent-Space Disentanglement with Untrained Generator Networks for the Isolation of Different Motion Types in Video Data; natural Numerical Networks on Directed Graphs in Satellite Image Classification; piece-wise Constant Image Segmentation with a Deep Image Prior Approach; On the Inclusion of Topological Requirements in CNNs for Semantic Segmentation Applied to Radiotherapy; a Relaxed Proximal Gradient Descent Algorithm for Convergent Plug-and-Play with Proximal Denoiser; theoretical Foundations for Pseudo-Inversion of Nonlinear Operators; off-the-Grid Charge Algorithm for Curve Reconstruction in Inverse Problems; convergence Guarantees of Overparametrized Wide Deep Inverse Prior; On the Remarkable Efficiency of SMART; wasserstein Gradient Flows of the Discrepancy with Distance Kernel on the Line; a Quasi-Newton Primal-Dual Algorithm with Line Search; stochastic Gradient Descent for Linear Inverse Problems in Variable Exponent Lebesgue Spaces; an Efficient Line Search for Sparse Reconstruction; learned Discretization Schemes for the Second-Order Total Generalized Variation; fluctuation-Based Deconvolution in Fluorescence Microscopy Using Plug-and-Play Denoisers; Segmenting MR Images Through Texture Extraction and Multiplicative Components Optimization; Geometric Adaptations of PDE-G-CNNs.","","Conference review","Final","","Scopus","2-s2.0-85161109423"
"","","","24th International Conference on Medical Image Computing and Computer Assisted Intervention, MICCAI 2021","2021","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12904 LNCS","","","","","5669","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116502894&partnerID=40&md5=d5b5b03333c7bb31b1901e5f119ea792","The proceedings contain 531 papers. The special focus in this conference is on Medical Image Computing and Computer Assisted Intervention. The topics include: TransBTS: Multimodal Brain Tumor Segmentation Using Transformer; automatic Polyp Segmentation via Multi-scale Subtraction Network; patch-Free 3D Medical Image Segmentation Driven by Super-Resolution Technique and Self-Supervised Guidance; progressively Normalized Self-Attention Network for Video Polyp Segmentation; SGNet: Structure-Aware Graph-Based Network for Airway Semantic Segmentation; NucMM Dataset: 3D Neuronal Nuclei Instance Segmentation at Sub-Cubic Millimeter Scale; AxonEM Dataset: 3D Axon Instance Segmentation of Brain Cortical Regions; improved Brain Lesion Segmentation with Anatomical Priors from Healthy Subjects; carveMix: A Simple Data Augmentation Method for Brain Lesion Segmentation; TransFuse: Fusing Transformers and CNNs for Medical Image Segmentation; boundary-Aware Transformers for Skin Lesion Segmentation; A Topological-Attention ConvLSTM Network and Its Application to EM Images; BiX-NAS: Searching Efficient Bi-directional Architecture for Medical Image Segmentation; multi-task, Multi-domain Deep Segmentation with Shared Representations and Contrastive Regularization for Sparse Pediatric Datasets; TEDS-Net: Enforcing Diffeomorphisms in Spatial Transformers to Guarantee Topology Preservation in Segmentations; learning Consistency- and Discrepancy-Context for 2D Organ Segmentation; partially-Supervised Learning for Vessel Segmentation in Ocular Images; unsupervised Network Learning for Cell Segmentation; MT-UDA: Towards Unsupervised Cross-modality Medical Image Segmentation with Limited Source Labels; context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation; Pancreas CT Segmentation by Predictive Phenotyping; interactive Segmentation via Deep Learning and B-Spline Explicit Active Surfaces; multi-compound Transformer for Accurate Biomedical Image Segmentation; kCBAC-Net: Deeply Supervised Complete Bipartite Networks with Asymmetric Convolutions for Medical Image Segmentation; Refined Local-imbalance-based Weight for Airway Segmentation in CT.","","Conference review","Final","","Scopus","2-s2.0-85116502894"
"He J.; Li X.; Liu N.; Zhan S.","He, Jun (57071980500); Li, Xinke (35176053700); Liu, Ninghui (57218762964); Zhan, Shu (24765737400)","57071980500; 35176053700; 57218762964; 24765737400","Conditional Generative Adversarial Networks with Multi-scale Discriminators for Prostate MRI Segmentation","2020","Neural Processing Letters","52","2","","1251","1261","10","5","10.1007/s11063-020-10303-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090230344&doi=10.1007%2fs11063-020-10303-x&partnerID=40&md5=6343626f142c805ac16e42913086f32c","Accurate prostate MR image segmentation is a necessary preprocessing stage for computer-assisted diagnostic algorithms. Convolutional neural network, as a research focus in recent years, has been proven to be powerful in computer vision field. Recently, the most effective prostate MRI segmentation technology mainly relies on full convolutional network which has been widely used in semantic segmentation task. However, it’s independent and identically distributed assumption neglect the structural regularity present in MR images and miss information between pixels. In this paper, we propose an MRI-conditional generative adversarial networks for prostate segmentation. Our adversarial training make it context aware and the use of adversarial loss functions learn high-level structural information. The network consist of a generator and a discriminator. The generator consists of a contraction channel and an expansion channel like U-Net. The method we proposed uses a multi-scale discriminator which consist of two discriminators with the same structure but different input sizes. The objective function has two parts: one is the adversarial loss, the other is feature matching loss which stabilizes the training and get better convergence. The experiment show that our network can accurately segment the prostate MRI and outperforms most existing methods. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Feature matching loss; Generative adversarial networks; Generator; Magnetic resonance images (MRI)","Article","Final","","Scopus","2-s2.0-85090230344"
