"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Scribble-Supervised Cell Segmentation Using Multiscale Contrastive Regularization","H. -J. Oh; K. Lee; W. -K. Jeong","Department of Computer Science and Engineering, Korea University, Seoul, Korea; School of Electrical and Computer Engineering, UNIST, Ulsan, Korea; Department of Computer Science and Engineering, Korea University, Seoul, Korea",2022 IEEE 19th International Symposium on Biomedical Imaging (ISBI),"26 Apr 2022","2022","","","1","5","Current state-of-the-art supervised deep learning-based segmentation approaches have demonstrated superior performance in medical image segmentation tasks. However, such supervised approaches require fully annotated pixel-level ground-truth labels, which are labor-intensive and time-consuming to acquire. Recently, Scribble2Label (S2L) demonstrated that using only a handful of scribbles with self-supervised learning can generate accurate segmentation results without full annotation. However, owing to the relatively small size of scribbles, the model is prone to overfit and the results may be biased to the selection of scribbles. In this work, we address this issue by employing a novel multiscale contrastive regularization term for S2L. The main idea is to extract features from intermediate layers of the neural network for contrastive loss so that structures at various scales can be effectively separated. To verify the efficacy of our method, we conducted ablation studies on well-known datasets, such as Data Science Bowl 2018 and MoNuSeg. The results show that the proposed multiscale contrastive loss is effective in improving the performance of S2L, which is comparable to that of the supervised learning segmentation method.","1945-8452","978-1-6654-2923-8","10.1109/ISBI52829.2022.9761608","National Research Foundation; Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9761608","Contrastive Learning;Weakly Supervised Learning;Cell Segmentation","Image segmentation;Image resolution;Annotations;Supervised learning;Neural networks;Data science;Feature extraction","","6","","18","IEEE","26 Apr 2022","","","IEEE","IEEE Conferences"
"Mobile-Seed: Joint Semantic Segmentation and Boundary Detection for Mobile Robots","Y. Liao; S. Kang; J. Li; Y. Liu; Y. Liu; Z. Dong; B. Yang; X. Chen","Wuhan University, Wuhan, China; Technical University of Munich, München, Germany; Wuhan University, Wuhan, China; King's College London, London, U.K.; Institute of Infocomm Research (I2R), A*STAR, Singapore; Wuhan University, Wuhan, China; Wuhan University, Wuhan, China; National University of Defense Technology, Changsha, China",IEEE Robotics and Automation Letters,"14 Mar 2024","2024","9","4","3902","3909","Precise and rapid delineation of sharp boundaries and robust semantics is essential for numerous downstream robotic tasks, such as robot grasping and manipulation, real-time semantic mapping, and online sensor calibration performed on edge computing units. Although boundary detection and semantic segmentation are complementary tasks, most studies focus on lightweight models for semantic segmentation but overlook the critical role of boundary detection. In this work, we introduce Mobile-Seed, a lightweight, dual-task framework tailored for simultaneous semantic segmentation and boundary detection. Our framework features a two-stream encoder, an active fusion decoder (AFD) and a dual-task regularization approach. The encoder is divided into two pathways: one captures category-aware semantic information, while the other discerns boundaries from multi-scale features. The AFD module dynamically adapts the fusion of semantic and boundary information by learning channel-wise relationships, allowing for precise weight assignment of each channel. Furthermore, we introduce a regularization loss to mitigate the conflicts in dual-task learning and deep diversity supervision. Compared to existing methods, the proposed Mobile-Seed offers a lightweight framework to simultaneously improve semantic segmentation performance and accurately locate object boundaries. Experiments on the Cityscapes dataset have shown that Mobile-Seed achieves notable improvement over the state-of-the-art (SOTA) baseline by 2.2 percentage points (pp) in mIoU and 4.2 pp in mF-score, while maintaining an online inference speed of 23.9 frames-per-second (FPS) with 1024 $\boldsymbol{\times }$ 2048 resolution input on an RTX 2080 Ti GPU. Additional experiments on CamVid and PASCAL Context datasets confirm our method's generalizability.","2377-3766","","10.1109/LRA.2024.3373235","National Natural Science Foundation of China(grant numbers:42201477,42130105); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10461032","Deep learning for visual perception;visual learning;deep learning methods","Semantics;Semantic segmentation;Task analysis;Feature extraction;Decoding;Streaming media;Head","","1","","39","IEEE","8 Mar 2024","","","IEEE","IEEE Journals"
"An Efficient Deep Representation Based Framework for Large-Scale Terrain Classification","Y. Yan; A. Rangarajan; S. Ranka","University of Florida, Gainesville, Florida, USA; University of Florida, Gainesville, Florida, USA; University of Florida, Gainesville, FL, US",2018 24th International Conference on Pattern Recognition (ICPR),"29 Nov 2018","2018","","","940","945","In this paper, we present a novel terrain classification framework for large-scale remote sensing images. A well-performing multi-scale superpixel tessellation based segmentation approach is employed to generate homogeneous and irregularly shaped regions, and a transfer learning technique is sequentially deployed to derive representative deep features by utilizing successful pre-trained convolutional neural network (CNN) models. This design is aimed to overcome the big problem of lacking available ground-truth data and to increase the generalization power of the multi-pixel descriptor. In the subsequent classification step, we train a fast and robust support vector machine (SVM) to assign the pixel-level labels. Its maximum-margin property can be easily combined with a graph Laplacian propagation approach. Moreover, we analyze the advantages of applying a feature selection technique to the deep CNN features which are extracted by transfer learning. In the experiments, we evaluate the whole framework based on different geographical types. Compared with other region-based classification methods, the results show that our framework can obtain state-of-the-art performance w.r.t. both classification accuracy and computational efficiency.","1051-4651","978-1-5386-3788-3","10.1109/ICPR.2018.8545021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8545021","remote sensing;superpixel segmentation;convolutional neural network;transfer learning;feature selection;semi-supervised learning","Feature extraction;Image segmentation;Training;Labeling;Image resolution;Remote sensing","","2","","25","IEEE","29 Nov 2018","","","IEEE","IEEE Conferences"
"MLSL: Multi-Level Self-Supervised Learning for Domain Adaptation with Spatially Independent and Semantically Consistent Labeling","J. Iqbal; M. Ali","Information Technology University, Pakistan; Information Technology University, Pakistan",2020 IEEE Winter Conference on Applications of Computer Vision (WACV),"14 May 2020","2020","","","1853","1862","Most of the recent Deep Semantic Segmentation algorithms suffer from large generalization errors, even when powerful hierarchical representation models, based on convolutional neural networks, have been employed. This could be attributed to limited training data and large distribution gap in train and test domain datasets. In this paper, we propose a multi-level self-supervised learning model for domain adaptation of semantic segmentation. Exploiting the idea that an object (and most of the stuff given context) should be labeled consistently regardless of its location, we generate spatially independent and semantically consistent (SISC) pseudo-labels by segmenting multiple sub-images using base model and designing an aggregation strategy. Image level pseudo weak-labels, PWL, are computed to guide domain adaptation by capturing global context similarity in source and target domain at latent space level. Thus helping latent space learn the representation even when there are very few pixels belonging to the domain category (small object for example) compared to rest of the image. Our multi-level Self-supervised learning (MLSL) outperforms existing state-of-art (self or adversarial learning) algorithms. Specifically, keeping all setting similar and employing MLSL we obtain an mIoUgain of 5.1% on GTA-V to Cityscapes adaptation and 4.3% on SYNTHIA to Cityscapes adaptation compared to existing state-of-art method.","2642-9381","978-1-7281-6553-0","10.1109/WACV45572.2020.9093626","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9093626","","Semantics;Image segmentation;Adaptation models;Training;Computational modeling;Task analysis;Roads","","24","","35","IEEE","14 May 2020","","","IEEE","IEEE Conferences"
"Multiscale Attention Feature Aggregation Network for Cloud and Cloud Shadow Segmentation","K. Chen; M. Xia; H. Lin; M. Qian","Collaborative Innovation Center on Atmospheric Environment and Equipment Technology, Jiangsu Key Laboratory of Big Data Analysis Technology (B-DAT), Nanjing University of Information Science and Technology, Nanjing, China; Collaborative Innovation Center on Atmospheric Environment and Equipment Technology, Jiangsu Key Laboratory of Big Data Analysis Technology (B-DAT), Nanjing University of Information Science and Technology, Nanjing, China; College of Information Science and Technology, Nanjing Forestry University, Nanjing, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University (LIESMARS), Wuhan University, Wuhan, China",IEEE Transactions on Geoscience and Remote Sensing,"20 Jun 2023","2023","61","","1","16","Cloud and cloud shadow segmentation is one of the most important problems in remote sensing image processing. Due to the vulnerability to ground object interference, noise interference and other factors, and the lack of generalization ability, traditional deep learning networks would inevitably lose details and spatial information, resulting in imprecise segmentation of cloud and cloud shadow boundaries, missing detection, and false detection. In order to solve these problems, a multiscale attention feature aggregation network is proposed, which extracts semantic information at different levels based on the residual network. A multiscale strip pooling attention module is designed to extract multiscale context information and deep spatial channel information. In order to improve the feature extraction of the model, the deep multihead feedforward transfer attention module is introduced to enable the adjacent two layers of the backbone network to guide each other for feature mining. Then, a bilateral feature fusion module is used to guide the fusion of low-level semantic information and high-level detail information. Finally, in order to enhance the repair of boundary details of cloud and cloud shadow, a boundary refinement boosting model is designed. The experimental results show that our model can handle complex cloud cover scenes and has excellent performance on the cloud, the cloud shadow dataset, and the cloud and snow dataset based on WorldView2 (CSWV) dataset. Its segmentation accuracy is superior to the existing methods, which is of great significance to the related work of cloud detection.","1558-0644","","10.1109/TGRS.2023.3283435","National Natural Science Foundation of China(grant numbers:42075130); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10144804","Attention;cloud shadow;deep learning;image segmentation","Feature extraction;Cloud computing;Image segmentation;Remote sensing;Semantics;Deep learning;Data mining","","12","","57","IEEE","6 Jun 2023","","","IEEE","IEEE Journals"
"A Deep Model for Joint Object Detection and Semantic Segmentation in Traffic Scenes","J. Peng; Z. Nan; L. Xu; J. Xin; N. Zheng","Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, P.R. China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, P.R. China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, P.R. China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, P.R. China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, P.R. China",2020 International Joint Conference on Neural Networks (IJCNN),"28 Sep 2020","2020","","","1","8","Object detection and semantic segmentation are two fundamental techniques of various applications in the fields of Intelligent Vehicles (IV) and Advanced Driving Assistance System (ADAS). Early studies separately handle these two problems. In this paper, inspired by some recent works, we propose a deep neural network model for joint object detection and semantic segmentation. Given an image, an encoder-decoder convolution network extracts a set of feature maps, these feature maps are shared by the detection branch and the segmentation branch to jointly carry out the object detection and semantic segmentation. In the detection branch, we design a PriorBox initialization mechanism to propose more object candidates. In the segmentation branch, we use the multi-scale atrous convolution to explore the global and local semantic information in traffic scenes. Benefiting from the PriorBox Initialization Mechanism (PBIM) and Multi-Scale Atrous Convolution (MSAC), our model presents the competitive performance. In the experiments, we widely compare with several recently-proposed methods on the public Cityscapes dataset, achieving the highest accuracy. In addition, to verify the robustness and generalization of our model, the extension experiments are also conducted on the well-known VOC2012 dataset.","2161-4407","978-1-7281-6926-2","10.1109/IJCNN48605.2020.9206883","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206883","traffic scenes;object detection;semantic segmentation","Semantics;Object detection;Decoding;Feature extraction;Image segmentation;Convolution;Task analysis","","10","","35","IEEE","28 Sep 2020","","","IEEE","IEEE Conferences"
"Vector Mapping Method for Buildings in Remote Sensing Images Based on Joint Semantic-Geometric Learning","J. Yin; F. Wu; Y. Qi","Institute of Geospatial Information, PLA Strategic Support Force Information Engineering University, Zhengzhou, China; Institute of Geospatial Information, PLA Strategic Support Force Information Engineering University, Zhengzhou, China; Institute of Geospatial Information, PLA Strategic Support Force Information Engineering University, Zhengzhou, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"9 Oct 2023","2023","16","","9067","9076","An important high-precision building vector mapping method automatically delineates building polygons from high-resolution remote sensing images. Deep learning methods have greatly improved the accuracy of automatic building segmentation in remote sensing images. However, building polygons in vector forms have a compact and regular structured expression effect, which corresponds more with the application requirements of cartography and geographic information systems (GIS). We propose a vector mapping method for buildings in remote sensing images with joint semantic-geometric learning to generate building polygon vectors in remote sensing images automatically. The method, aiming to provide cartography and GIS data sources, consists of three modules: multi-task segmentation, contour regularization, and polygon optimization. To reduce missing extractions and mis-extractions and obtain a complete building segmentation mask, the multitask segmentation module performs joint semantic-geometric learning on three related tasks: building instance detection, pixel-wise contour segmentation, and edge extraction. The regularization module normalizes the segmentation mask expression using geometric constraints and image information, whereas the polygon optimization module combines geometric constraints with deep learning methods to ensure vectorization quality. The experimental results show that the proposed method adapts well to building vector extraction tasks under different scenarios and can generate building vector polygons that match the ground truth labels. This method offers significant advantages in solving problems, such as building polygon irregularity and vertex offset.","2151-1535","","10.1109/JSTARS.2023.3319605","National Natural Science Foundation of China(grant numbers:42201491); Natural Science Foundation for Distinguished Young Scholars of Henan Province(grant numbers:212300410014); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10265008","Contour regularization;joint semantic-geometric learning;multitask segmentation;polygon optimization;remote sensing images","Buildings;Image segmentation;Remote sensing;Feature extraction;Multitasking;Optimization;Task analysis;Deep learning","","2","","45","CCBYNCND","27 Sep 2023","","","IEEE","IEEE Journals"
"SAPNet: Segmentation-Aware Progressive Network for Perceptual Contrastive Deraining","S. Zheng; C. Lu; Y. Wu; G. Gupta","Wenzhou-Kean University, Wenzhou, China; Wenzhou-Kean University, Wenzhou, China; Wenzhou-Kean University, Wenzhou, China; Wenzhou-Kean University, Wenzhou, China",2022 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),"15 Feb 2022","2022","","","52","62","Deep learning algorithms have recently achieved promising deraining performance–s on both the natural and synthetic rainy datasets. As an essential low-level preprocessing stage, a deraining network should clear the rain streaks and preserve the fine semantic details. However, most existing methods only consider low-level image restoration. That limits their performances at high-level tasks requiring precise semantic information. To address this issue, in this paper, we present a segmentation aware progressive network (SAPNet) based upon contrastive learning for single image deraining. We start our method with a lightweight derain network formed with progressive dilated units (PDU). The PDU can significantly expand the receptive field and characterize multiscale rain streaks without the heavy computation on multiscale images. A fundamental aspect of this work is an unsupervised background segmentation (UBS) network initialized with ImageNet and Gaussian weights. The UBS can faithfully preserve an image s semantic information and improve the generalization ability to unseen photos. Furthermore, we introduce a perceptual contrastive loss (PCL) and a learned perceptual image similarity loss (LPISL) to regulate model learning. By ex-ploiting the rainy image and ground-truth as the negative and the positive sample in the VGG-16 latent space, we bridge the fine semantic details between the derained image and the ground-truth in a fully constrained manner. Comprehensive experiments on synthetic and real-world rainy images show our model surpasses top-performing methods and aids object detection and semantic segmentation with considerable efficacy. A Pytorch Implementation is available at https://github.com/ShenZheng2000/SAPNetfor-image-deraining.","2690-621X","978-1-6654-5824-5","10.1109/WACVW54805.2022.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9707514","","Bridges;Deep learning;Image segmentation;Rain;Handheld computers;Semantics;Lighting","","34","","59","IEEE","15 Feb 2022","","","IEEE","IEEE Conferences"
"River Extraction Method of Remote Sensing Image Based on Edge Feature Fusion","B. Guo; J. Zhang; X. Li","Nanchang Key Laboratory of Welding Robot and Intelligent Technology, Nanchang Institute of Technology, Nanchang, China; Nanchang Key Laboratory of Welding Robot and Intelligent Technology, Nanchang Institute of Technology, Nanchang, China; Nanchang Key Laboratory of Welding Robot and Intelligent Technology, Nanchang Institute of Technology, Nanchang, China",IEEE Access,"24 Jul 2023","2023","11","","73340","73351","The extraction of rivers from remote sensing images is crucial for urban planning and water resource utilization. To address the low accuracy of traditional methods for extracting rivers from remote sensing images in complex scenes, a novel method based on edge feature fusion is proposed. As the input item of Learning Vector Quantization (LVQ), the preprocessed the remote sensing image is fed into four traditional edge detection algorithms for processing, and a finer edge image is obtained. Furthermore, VGG16 and ResNet50 models are utilized as feature extractors for transfer learning. The scale feature output layer and the semantic feature output layer are introduced to construct a Two-Branch Fusion (TBF) model. The scale feature output layer of the model makes full use of the rich convolution features of VGG16, and optimizes the training steps via collaborative loss and deep supervision. The semantic feature output layer extracts the residual maps matched by the ResNet50’s different scale convolution layers, and employs edge features to refine the segmentation boundary, thereby sharpening predictions at the edges. Moreover, the TBF model effectively integrates multi-scale edge information, thus improving the prediction accuracy of the model. The proposed model is tested with SVM, FCN, and UNet on the remote sensing river image dataset. The results show that the proposed model has greater PA (Pixel Accuracy), Pre (Precision), and mIoU (mean Intersection over Union) than other models. The test results indicate that the proposed model’s river segmentation effect is more refined. When applying this method to the Inria Aerial Image Labeling Dataset and Pascal VOC2012 Dataset, the model’s generalization ability is validated, and its evaluation index and segmentation effect are superior to those of other models.","2169-3536","","10.1109/ACCESS.2023.3296641","Jiangxi Provincial Natural Science Foundation(grant numbers:20224BAB202033); Jiangxi Provincial Key Research and Development Program(grant numbers:20192BBE50015); Science and Technology Project of Jiangxi Provincial Education Department(grant numbers:GJJ201912); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185557","Edge feature fusion;river extraction;remote sensing image","Image edge detection;Feature extraction;Rivers;Remote sensing;Image segmentation;Training;Semantics;Urban planning","","4","","33","CCBYNCND","18 Jul 2023","","","IEEE","IEEE Journals"
"Methodology of Data Fusion Using Deep Learning for Semantic Segmentation of Land Types in the Amazon","J. P. De Oliveira; M. G. F. Costa; C. Filho","Operations and Management Center of the Amazon Protection System (CENSIPAM), Manaus, Brazil; Federal University of Amazonas, Manaus, Brazil; Federal University of Amazonas, Manaus, Brazil",IEEE Access,"21 Oct 2020","2020","8","","187864","187875","This study proposes a methodology using deep learning and a multi-resolution segmentation algorithm to perform the semantic segmentation of remote sensing images. Initially the image is segmented using a CNN, and then an image with homogeneous regions is generated using a multi-resolution segmentation algorithm. Finally, a data fusion process is performed with these two images, generating the final classified image. The field of study was the Brazilian Amazon region. The proposed methodology classifies images in the following classes: forest, pasture and agriculture. The input data used were LANDSAT-8/OLI images. The reference data were extracted from the results of the TerraClass project in 2014. Two datasets were evaluated: the first with six bands and the second with three bands. Three CNN architectures were evaluated together with three optimization methods: SGDM, ADAM, and RMSProp and the dropout and L2 regularization methods as methods for generalization improvement. The best model, CNN + optimization method + technique for generalization improvement, evaluated in the validation set, was submitted to a 5-fold cross validation methodology, and the results were compared with pre-trained networks using the learning transfer methodology; in this case the networks used for comparison were ResNet50, InceptionResnetv2, MobileNetv2 and Xception. The proposed methodology was evaluated through image segmentation of some regions of the Amazon. Finally, the proposed methodology was evaluated in regions used by other authors. The accuracy values obtained for the images evaluated were over 99%.","2169-3536","","10.1109/ACCESS.2020.3031533","Samsung Electronics of Amazonia Ltd., through the terms of Federal Law no. 8.387/1991, by the agreement no. 004, assigned by the Center for Research and Development in Electronics and Information from the Federal University of Amazonas—CETELI/UFAM; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior—Brasil (CAPES)—Funding Code 001; Academic English Solutions; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9224624","Deep learning;convolutional neural networks;remote sensing;image segmentation","Remote sensing;Artificial satellites;Earth;Image segmentation;Deep learning;Forestry;Agriculture","","6","","30","CCBY","15 Oct 2020","","","IEEE","IEEE Journals"
"ROXSI: Robust Cross-Sequence Semantic Interaction for Brain Tumor Segmentation on Multi-Sequence MR Images","Z. Kuang; Z. Yan; A. Abayazeed; F. Wagner; L. Yu; M. Reyes","School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, Hubei, China; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, Hubei, China; Neosoma Inc, USA; Department of Neuro-radiology, University Hospital Bern, Switzerland; School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, Hubei, China; ARTORG Center for Biomedical Engineering Research, University of Bern, Bern, Switzerland",IEEE Journal of Biomedical and Health Informatics,"","2024","PP","99","1","14","Deep learning-based brain tumor segmentation on multi-sequence magnetic resonance imaging (MRI) has gained widespread attention due to its great potential in supporting brain disease diagnosis. Although, compared to single-sequence images, more information is available from multi-sequence MR images, noise and artifacts on any given MR sequence can result in significant performance degradations. As in clinical routine, it is not always possible to maintain high imaging quality across all MR sequences (e.g., foreign bodies, ventricular drainage, shunts, involuntary patient motion, etc.), ensuring robustness of brain tumor segmentation from multi-sequence MR images is of great importance in clinical practice, but rarely explored. Accordingly, in this paper, we propose a robust brain tumor segmentation framework to mitigate the performance degradation caused by noise and artifacts on multi-sequence MR images. Specifically, based on semantic affinity, we propose a unique cross-sequence semantic interaction module (CSSI) to exploit inter-sequence correlations and extract noise-resilient features. In addition, we incorporate a batch-level covariance mechanism to suppress the redundant background information and improve the semantic enhancement effect of the CSSI module. In order to further improve segmentation performance, we also incorporate a sequence-level variance regularization mechanism to exploit sequence-specific features. To validate the robustness of ROXSI, brain tumor segmentation performance was evaluated under the existence of four common artifacts, at five different perturbation levels. We further performed a blinded qualitative clinical evaluation with two experienced neuro-radiologists, evaluating results from ROXSI and other popular CNN and Transformer-based segmentation models. Experimental results on two benchmark datasets demonstrate the superior robustness of ROXSI over other state-of-the-art segmentation methods. The source code is publicly available at https://github.com/HustAlexander/ROXSI.","2168-2208","","10.1109/JBHI.2024.3513479","National Natural Science Foundation of China(grant numbers:62271220,62202179); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786192","medical image segmentation;brain tumor segmentation;multi-sequence feature fusion;cross-sequence semantic affinity","Semantics;Image segmentation;Feature extraction;Robustness;Magnetic resonance imaging;Noise;Degradation;Transformers;Training;Fuses","","","","","IEEE","9 Dec 2024","","","IEEE","IEEE Early Access Articles"
"Side-Scan Sonar Image Segmentation Based on Multi-Channel Fusion Convolution Neural Networks","Z. Wang; J. Guo; W. Huang; S. Zhang","School of Information and Navigation, Air Force Engineering University, Xi’an, China; School of Information Engineering, Xijing University, Xi’an, China; School of Information Engineering, Xijing University, Xi’an, China; School of Information Engineering, Xijing University, Xi’an, China",IEEE Sensors Journal,"14 Mar 2022","2022","22","6","5911","5928","Side-scan sonar is an important application in the field of ocean exploration. Accurate segmentation of target regions in side-scan sonar images is a challenging issue due to the low-resolution and strong noise interference. To accurately and faster segment the different categories target in sonar image, a novel convolutional neural networks (CNNs) model is proposed in this study. Firstly, the deep separable residual module is used for target regions multi-scale feature extraction and suppression noise feature information interference, and the multi-channel feature fusion method is used to enhance feature information transfer of convolution layers. Secondly, the adaptive supervised function is used for pixel-wise classification of different categories targets. Finally, to improve model generalization ability and robustness, the adaptive transfer learning method is introduced in the model training process. We have performed extensive experiments on side-scan sonar image with different targets and scales. The experimental results show that the detection accuracy of the proposed method reaches 95.73%, which is outperforms other state-of-the-art methods on the side-scan sonar image segmentation tasks. Moreover, the method has fewer computational parameters, facilitating future deployment it to underwater mobile detection devices.","1558-1748","","10.1109/JSEN.2022.3149841","National Neural Science Foundation of China(grant numbers:61671465); Neural Science Foundation of Shanxi Province(grant numbers:2021JQ-879); China National Natural Science Foundation(grant numbers:61473237); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706494","Sonar image segmentation;convolution neural network;multi-channel feature fusion;adaptive supervised function;adaptive transfer learning","Sonar;Image segmentation;Feature extraction;Convolution;Adaptation models;Training;Sensors","","24","","40","IEEE","7 Feb 2022","","","IEEE","IEEE Journals"
"Image Reflection Removal via Contextual Feature Fusion Pyramid and Task-Driven Regularization","Y. Li; Q. Yan; K. Zhang; H. Xu","School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China",IEEE Transactions on Circuits and Systems for Video Technology,"3 Feb 2022","2022","32","2","553","565","In this paper, we propose a deep neural network for single image reflection removal. More specifically, we design a convolutional-grid module and take it as the building block of a feature fusion pyramid. The module leverages the combination effect of the grid topology to create a rich ensemble of receptive fields. Embedding the modules into a pyramidal architecture further expands the coverage of receptive fields. Another benefit of the pyramid is to fuse the multi-scale features learned by the modules locating at the ascending and descending pathways. The rich diversity of features helps the neural network analyze the contexts around overlapping objects at various spatial ranges and harvest the cues for layer separation. The proposed work also exploits useful semantic cues from the hyper-column descriptors generated by a pre-trained VGG-19 model to reduce the ambiguity of layer separation. In light of the low correlation between background and reflection layers, we design a channel-correlation based conditional discriminator to penalize residual reflection. The discriminator uses channel-wise attention to screen the features that can distinguish real background images from estimated ones. This paper also presents a task-driven regularization strategy. The high sensitivity of semantic segmentation to reflection is exploited for assessing the completeness of reflection removal. Training with this regularization strategy can boost the performance of both reflection removal and high-level task. The comparison against state-of-the-art algorithms on four public benchmark datasets demonstrates that this work exhibits superior performance in handling the complex reflections in wild scenarios. The proposed network architecture is also applicable to haze removal, which is another ill-posed layer separation problem, and has shown encouraging performance.","1558-2205","","10.1109/TCSVT.2021.3067502","National Natural Science Foundation of China(grant numbers:61972281,61572352); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381898","Reflection removal;multi-scale feature extraction;feature fusion;semantic segmentation;task-driven regularization","Task analysis;Feature extraction;Training;Semantics;Neural networks;Image restoration;Inference algorithms","","12","","53","IEEE","19 Mar 2021","","","IEEE","IEEE Journals"
"AOSVSSNet: Attention-Guided Optical Satellite Video Smoke Segmentation Network","T. Wang; J. Hong; Y. Han; G. Zhang; S. Chen; T. Dong; Y. Yang; H. Ruan","School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; Navy Research Institute, People's Liberation Army, Beijing, China; Beijing Institute of Tracking and Telecommunications Technology, Beijing, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"12 Oct 2022","2022","15","","8552","8566","Smoke is more observable than open fires. Optical satellite video has the advantages of a wide monitoring range, fast response speed, and good economy in large-scale surface smoke monitoring tasks. It can be used in wide-area forest wildfire monitoring, battlefield dynamic monitoring, disaster relief decision-making. The smoke segmentation method based on traditional handcrafted features is easily limited by the scene and data. This article introduces the deep learning method to the optical satellite video smoke target segmentation. However, due to the lack of real smoke images and the blurred edges of smoke, there are currently few labeled datasets for smoke segmentation in high-resolution optical satellite imagery scenes, which cannot provide sufficient training data for deep learning models. The smoke image from the satellite perspective also has the characteristics of multiscale features and ground object background interference. To solve the abovementioned problems, we construct a set of high-resolution optical satellite imagery smoke synthesis datasets based on the optical imaging process of smoke targets, which saves the cost of manual labeling. In addition, we design an attention-guided optical satellite video smoke segmentation network model, which can effectively suppress the ground object background's false alarm and extract the smoke's multiscale features. Synthetic data faces the transferability problem in real-world applications, so the physical constraints of the smoke imaging process are introduced into the loss function to improve the generalization of the model in real smoke data. The comprehensive evaluation results show that the method outperforms representative semantic segmentation networks.","2151-1535","","10.1109/JSTARS.2022.3209541","Key Research and Development Program of the Ministry of Science and Technology(grant numbers:2018YFB0504905); High Resolution Earth Observation Systems National Science and Technology Major Projects(grant numbers:GFZX0404120305); Civil Aerospace Advance Research Project(grant numbers:D040107); Postdoctoral Innovation Talent Support Program(grant numbers:BX2021222); LIESMARS Special Research Funding; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9903300","Convolutional neural network;moving object segmentation;satellite video;smoke segmentation","Image segmentation;Satellites;Optical imaging;Feature extraction;Optical sensors;Convolutional neural networks;Deep learning","","6","","77","CCBY","26 Sep 2022","","","IEEE","IEEE Journals"
